Sample,Infection,Cancer,Blood,Metabolic,Mental ,Nervous,Circulatory,Respiratory,Digestive,Musculoskeletal,Genital,Perinatal,Deformations,Abnormal,External
Black Women, 15419,27170,2826,6644,1675,3306,29355,5160,4781,2563,3042,1260,585,2596,18010
Black Men,24659,17377,2605,8130,3172,3538,44591,5477,6111,1003,3241,10,692,3712,54538
Asian Women,353,5799,101,317,82,227,2014,335,329,211,166,231,90,141,2566
Asian Men,902,4560,86,609,302,302,5255,472,996,93,196,2,126,374,6009
White Women,14021,105786,1925,15814,7184,10922,58032,15191,23504,3557,4440,2379,3264,9069,112382
White Men, 34976,85453,2235,24430,18014,14366,129888,16540,42850,2014,5251,39,3932,15950,290674
Native Women,392,1000,34,388,345,143,1038,331,1570,99,121,61,36,150,2515
Native Men,654,793,37,658,680,215,1,1951,393,1922,47,140,39,263,5831
Hispanic Women,3287,15777,337,2182,668,1138,6785,1669,3145,990,765,666,337,945,10675
Hispanic Men,9540,11527,479,3680,3126,1634,16993,2469,9587,484,1008,2,472,2430,42839
