Sample,Infection,Cancer,Blood,Metabolic,Mental ,Nervous,Circulatory,Respiratory,Digestive,Musculoskeletal,Genital,Perinatal,Deformations,Abnormal,External
Black Women,1524,2200,719,955,151,1398,2711,1177,559,827,350,1098,605,901,14478
Black Men,378,1634,258,303,44,1114,835,1232,235,54,54,61,753,343,7561
Asian Women,95,534,37,62,17,158,247,108,46,122,21,53,118,104,2513
Asian Men,129,854,37,105,49,290,530,152,68,29,21,2,152,169,7593
White Women,1744,9515,571,3380,1175,3871,5568,2652,1369,799,617,1700,2388,2773,73437
White Men,2354,14545,733,3988,2449,8100,10139,3867,1891,506,605,139,3509,6225,245487
Native Women,40,117,19,47,41,76,115,66,53,24,17,45,38,63,2366
Native Men,42,190,14,83,78,113,176,76,93,10,18,2,66,119,6596
Hispanic Women,487,2245,178,434,141,758,1093,508,310,367,145,543,463,488,12408
Hispanic Men,764,3894,203,633,494,1608,2260,754,458,139,143,25,698,1409,59182
